date,symbol,holder_level,holders,shares,ratio,source
2026-05-29,1220,4,220,2845809,1.6,TDCC
2026-05-29,1220,5,157,2979479,1.68,TDCC
2026-05-29,1220,6,144,3725197,2.1,TDCC
2026-05-29,1220,7,60,2104390,1.18,TDCC
2026-05-29,1220,8,38,1797335,1.01,TDCC
2026-05-29,1220,9,102,7417292,4.18,TDCC
2026-05-29,1221,1,11612,2822665,2.96,TDCC
2026-05-29,1221,10,47,6899977,7.24,TDCC
2026-05-29,1221,11,22,6551302,6.87,TDCC
2026-05-29,1221,12,5,2402066,2.52,TDCC
2026-05-29,1221,13,4,2786991,2.92,TDCC
2026-05-29,1221,14,3,2741569,2.87,TDCC
2026-05-29,1221,15,10,24574588,25.78,TDCC
2026-05-29,1221,16,0,0,0.0,TDCC
2026-05-29,1221,17,18698,95290733,100.0,TDCC
2026-05-29,1221,2,4869,10562768,11.08,TDCC
2026-05-29,1221,3,1024,7561080,7.93,TDCC
2026-05-29,1221,4,421,5014543,5.26,TDCC
2026-05-29,1221,5,195,3587590,3.76,TDCC
2026-05-29,1221,6,219,5357986,5.62,TDCC
2026-05-29,1221,7,85,3023775,3.17,TDCC
2026-05-29,1221,8,51,2379628,2.49,TDCC
2026-05-29,1221,9,131,9024205,9.47,TDCC
2026-05-29,1224,1,2781,283019,0.39,TDCC
2026-05-29,1224,10,6,968410,1.34,TDCC
2026-05-29,1224,11,6,1939000,2.69,TDCC
