date,symbol,foreign_net,investment_trust_net,dealer_net,total_institutional_net,source
2026-01-02,6173,3260000,0,634326,3894326,TPEX
2026-01-02,6174,4000,0,0,4000,TPEX
2026-01-02,6175,2745000,0,251588,2996588,TPEX
2026-01-02,6179,62890,0,-1405,61485,TPEX
2026-01-02,6180,137000,-143756,-17295,-24051,TPEX
2026-01-02,6182,726000,0,-52760,673240,TPEX
2026-01-02,6185,18000,0,0,18000,TPEX
2026-01-02,6186,-159000,0,-22360,-181360,TPEX
2026-01-02,6187,273260,0,24452,297712,TPEX
2026-01-02,6188,-937000,1480000,-12049,530951,TPEX
2026-01-02,6190,157000,0,18580,175580,TPEX
2026-01-02,6194,9000,0,53,9053,TPEX
2026-01-02,6199,-16960,0,-5000,-21960,TPEX
2026-01-02,6203,-21000,0,-1036,-22036,TPEX
2026-01-02,6204,305000,0,-1991,303009,TPEX
2026-01-02,6207,48000,0,5238,53238,TPEX
2026-01-02,6208,-1000,0,0,-1000,TPEX
2026-01-02,6217,-84500,0,-1260,-85760,TPEX
2026-01-02,6218,15000,0,0,15000,TPEX
2026-01-02,6219,8000,0,-65,7935,TPEX
2026-01-02,6220,-60000,0,0,-60000,TPEX
2026-01-02,6221,14900,0,0,14900,TPEX
2026-01-02,6223,100886,-168000,-150,-67264,TPEX
2026-01-02,6227,80000,0,809,80809,TPEX
2026-01-02,6228,1000,0,0,1000,TPEX
2026-01-02,6229,1000,0,-64,936,TPEX
2026-01-02,6231,150000,0,13635,163635,TPEX
2026-01-02,6233,-133000,0,-702,-133702,TPEX
2026-01-02,6234,-406000,0,-702,-406702,TPEX
2026-01-02,6237,25000,0,457,25457,TPEX
2026-01-02,6240,-4000,0,0,-4000,TPEX
2026-01-02,6244,-1370000,0,-124979,-1494979,TPEX
2026-01-02,6245,-120000,1776,-20673,-138897,TPEX
2026-01-02,6246,-1000,0,-2,-1002,TPEX
2026-01-02,6248,29000,0,-12000,17000,TPEX
2026-01-02,6259,6000,0,-15,5985,TPEX
2026-01-02,6261,153000,0,1000,154000,TPEX
2026-01-02,6263,8000,0,0,8000,TPEX
2026-01-02,6265,-1302500,0,66757,-1235743,TPEX
2026-01-02,6266,60000,0,-198,59802,TPEX
2026-01-02,6270,-13000,0,0,-13000,TPEX
2026-01-02,6274,-3120555,-127000,65186,-3182369,TPEX
2026-01-02,6275,151000,0,-441,150559,TPEX
